City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Faya,SA,18.3851,42.4509,57.31,80,1,1.43,clear sky
143,Novo Aripuana,BR,-5.1206,-60.3797,79.83,68,94,0.67,overcast clouds
144,Isangel,VU,-19.55,169.2667,84.31,74,20,3.44,few clouds
145,Taybad,IR,34.74,60.7756,45.45,49,0,3.91,clear sky
146,Tuatapere,NZ,-46.1333,167.6833,69.46,44,100,7.11,overcast clouds
147,Concordia,AR,-31.393,-58.0209,64.78,61,1,3.0,clear sky
148,Lieto,FI,60.5103,22.4618,42.96,97,100,4.61,overcast clouds
149,Arraial Do Cabo,BR,-22.9661,-42.0278,73.56,94,100,28.01,moderate rain
150,Coihaique,CL,-45.5752,-72.0662,52.41,62,0,5.75,clear sky
151,Bambous Virieux,MU,-20.3428,57.7575,71.85,60,75,8.05,broken clouds
152,Oxford,GB,51.7522,-1.256,49.17,93,100,10.36,overcast clouds
153,Pareora,NZ,-44.4871,171.2132,67.17,76,40,9.4,scattered clouds
154,Talnakh,RU,69.4865,88.3972,-23.51,90,20,4.14,few clouds
155,Point Pedro,LK,9.8167,80.2333,78.64,81,100,4.34,overcast clouds
156,Numan,NG,9.4667,12.0333,72.86,35,5,1.32,clear sky
157,Kenai,US,60.5544,-151.2583,37.45,85,40,3.44,scattered clouds
158,Chanderi,IN,24.7167,78.1333,64.09,46,0,2.98,clear sky
159,Iqaluit,CA,63.7506,-68.5145,11.93,79,100,16.11,light snow
160,Kaitangata,NZ,-46.2817,169.8464,68.02,57,82,7.36,broken clouds
161,Denpasar,ID,-8.65,115.2167,83.86,83,40,6.91,scattered clouds
162,Arona,ES,28.0996,-16.681,70.39,47,0,8.05,clear sky
163,Qom,IR,34.6401,50.8764,53.19,30,0,5.55,clear sky
164,Lumby,CA,50.2498,-118.969,30.79,93,42,1.14,scattered clouds
165,Lagos,NG,6.5833,3.75,79.12,87,100,2.77,overcast clouds
166,Ponta Do Sol,PT,32.6667,-17.1,67.71,71,94,1.03,overcast clouds
167,Carupano,VE,10.6678,-63.2585,77.23,89,41,5.91,scattered clouds
168,Castro,BR,-24.7911,-50.0119,62.47,96,96,5.08,overcast clouds
169,Kahului,US,20.8947,-156.47,84.22,67,40,21.85,scattered clouds
170,Waddan,LY,29.1614,16.139,61.14,45,0,3.33,clear sky
171,Salisbury,GB,51.0693,-1.7957,56.01,89,100,12.66,overcast clouds
172,Batagay,RU,67.6333,134.6333,-28.73,100,74,2.24,broken clouds
173,Verkhoyansk,RU,67.5447,133.385,-28.66,100,87,1.36,overcast clouds
174,Bulungu,CD,-4.55,18.6,70.43,98,100,1.81,overcast clouds
175,Lancaster,US,40.2504,-76.2499,36.88,75,0,4.61,clear sky
176,Nizwa,OM,22.9333,57.5333,68.43,56,0,2.28,clear sky
177,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,25.32,few clouds
178,Tessalit,ML,20.1986,1.0114,72.05,18,100,8.28,overcast clouds
179,Whitianga,NZ,-36.8333,175.7,63.63,91,93,9.55,overcast clouds
180,Porto Walter,BR,-8.2686,-72.7439,74.68,87,100,2.71,moderate rain
181,Bilma,NE,18.6853,12.9164,65.34,26,14,9.57,few clouds
182,Pisco,PE,-13.7,-76.2167,66.25,77,100,6.91,overcast clouds
183,Halifax,CA,44.6453,-63.5724,38.44,82,64,13.8,broken clouds
184,Gumdag,TM,39.2061,54.5906,48.61,61,16,4.59,few clouds
185,Kununurra,AU,-15.7667,128.7333,91.38,55,75,8.05,broken clouds
186,Kruisfontein,ZA,-34.0033,24.7314,58.89,60,76,8.86,broken clouds
187,Tsogni,GA,-2.7942,10.0988,75.07,87,88,7.11,overcast clouds
188,Clyde River,CA,70.4692,-68.5914,-3.77,71,0,14.97,clear sky
189,Lubao,PH,14.9167,120.55,85.71,66,98,11.3,overcast clouds
190,Campbell River,CA,50.0163,-125.2446,38.73,100,100,0.0,fog
191,Sumbawanga,TZ,-7.9667,31.6167,59.97,83,81,0.94,light rain
192,Amuntai,ID,-2.4177,115.2494,77.29,93,100,0.6,overcast clouds
193,Snyder,US,32.7179,-100.9176,37.74,52,0,16.11,clear sky
194,Iwade,JP,34.25,135.3167,63.48,52,0,5.48,clear sky
195,Bubaque,GW,11.2833,-15.8333,83.3,69,100,12.77,overcast clouds
196,Alegrete,BR,-29.7831,-55.7919,59.7,75,6,8.21,clear sky
197,San Cristobal,VE,7.7669,-72.225,71.78,95,69,1.3,broken clouds
198,Tual,ID,-5.6667,132.75,83.97,71,62,1.77,broken clouds
199,Dickinson,US,29.4608,-95.0513,54.99,92,100,19.57,overcast clouds
200,Erenhot,CN,43.6475,111.9767,29.55,51,13,8.12,few clouds
201,Dingle,PH,10.9995,122.6711,85.42,74,100,9.19,overcast clouds
202,Longyearbyen,SJ,78.2186,15.6401,26.44,74,40,21.85,scattered clouds
203,Shakiso,ET,5.75,38.9167,54.46,89,52,3.06,broken clouds
204,Mezen,RU,65.8522,44.24,21.09,92,100,1.59,overcast clouds
205,Casablanca,MA,33.5928,-7.6192,69.33,73,57,3.06,broken clouds
206,Akureyri,IS,65.6835,-18.0878,39.13,100,75,4.61,broken clouds
207,Pangnirtung,CA,66.1451,-65.7125,4.71,95,100,2.64,overcast clouds
208,Antoniny,UA,49.8097,26.8771,38.05,81,100,7.56,overcast clouds
209,Tiznit,MA,29.5833,-9.5,67.3,24,1,5.73,clear sky
210,Galveston,US,29.3669,-94.9669,55.0,93,100,11.99,overcast clouds
211,Tura,IN,25.5198,90.2201,67.8,76,0,1.86,clear sky
212,Puerto Escondido,MX,15.85,-97.0667,83.23,61,20,3.44,few clouds
213,Hervey Bay,AU,-25.2986,152.8535,77.68,75,1,14.88,clear sky
214,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,64,75,20.13,light shower snow
215,Gat,IL,31.61,34.7642,66.4,100,11,2.89,few clouds
216,Saint-Leu,RE,-21.15,55.2833,70.32,66,15,11.32,few clouds
217,Bengkulu,ID,-3.8004,102.2655,79.54,76,94,6.67,overcast clouds
218,Flinders,AU,-34.5833,150.8552,72.18,69,27,1.99,scattered clouds
219,Biskamzha,RU,53.4497,89.5272,27.88,89,96,1.74,overcast clouds
220,Dikson,RU,73.5069,80.5464,3.58,96,100,18.63,snow
221,Qingyuan,CN,23.7,113.0333,73.38,59,84,4.68,broken clouds
222,Nicoya,CR,10.1483,-85.452,74.19,94,92,1.9,overcast clouds
223,Vuktyl,RU,63.8567,57.3094,-4.41,100,98,3.74,overcast clouds
224,Enshi,CN,30.3,109.4833,57.51,80,88,1.48,overcast clouds
225,Matara,LK,5.9485,80.5353,74.77,88,100,6.17,overcast clouds
226,Erzin,TR,36.9559,36.2,61.29,48,6,4.81,clear sky
227,Bernay,FR,49.1667,0.6667,46.92,90,100,5.99,overcast clouds
228,Pedernales,DO,18.0384,-71.744,79.57,73,0,2.82,clear sky
229,Salalah,OM,17.0151,54.0924,73.49,56,0,2.3,clear sky
230,Pimentel,PE,-6.8367,-79.9342,62.98,85,9,12.82,clear sky
231,Lazaro Cardenas,MX,17.9583,-102.2,77.63,82,100,5.32,overcast clouds
232,Ballina,AU,-28.8667,153.5667,84.02,43,0,10.92,clear sky
233,Yenagoa,NG,4.9247,6.2642,75.15,90,50,3.78,scattered clouds
234,San Quintin,MX,30.4833,-115.95,61.75,57,100,4.83,overcast clouds
235,Kjollefjord,NO,70.9457,27.3465,39.25,81,75,16.11,broken clouds
236,Harnai,PK,30.1005,67.9374,53.64,37,0,1.86,clear sky
237,Fairbanks,US,64.8378,-147.7164,28.09,94,100,3.44,light snow
238,Biak,ID,-0.9131,122.8766,85.19,63,100,2.71,overcast clouds
239,Yeppoon,AU,-23.1333,150.7333,87.58,71,70,10.89,broken clouds
240,Hasaki,JP,35.7333,140.8333,54.28,85,100,17.43,light rain
241,Kungurtug,RU,50.5994,97.5228,15.19,78,14,2.06,few clouds
242,Goderich,CA,43.7501,-81.7165,32.32,86,100,4.61,overcast clouds
243,Vidim,RU,56.4088,103.1106,23.36,94,100,2.21,light snow
244,Lorengau,PG,-2.0226,147.2712,84.87,69,88,3.04,overcast clouds
245,San Juan Del Sur,NI,11.2529,-85.8705,78.87,83,100,16.55,overcast clouds
246,Hithadhoo,MV,-0.6,73.0833,81.48,76,73,14.09,broken clouds
